기획사명,시작나이,끝나이,분야,성별,URL,
131LABEL,0,2005,기타,남자,https://www.131online.net/apply,1
131LABEL,0,0,작사·작곡·프로듀서,모두,https://www.131online.net/apply,2
골드메달리스트,0,0,연기,모두,https://goldmedalist.com/ko/audition,3
나무엑터스,1999,2014,연기,모두,http://www.namooactors.com/bbs/board.php?bo_table=guide,4
냠냠엔터테인먼트,0,0,"보컬,연기",모두,https://yamyament.com/audition/,5
더웨이컴퍼니,0,0,연기,모두,http://www.thewaycp.com/audition,6
도로시컴퍼니,0,0,"보컬,작사·작곡·프로듀서,기타",모두,http://www.dorothycp.com/html/audition01.html,7
드림캐쳐컴퍼니,0,2003,"보컬,랩,댄스",모두,https://www.facebook.com/happyfaceenter,8
라이브웍스컴퍼니,0,0,"보컬,연기",모두,http://www.lworks.co.kr/company/audition.html,9
마다엔터테인먼트,2014,0,연기,모두,http://www.madaent.com/36,10
마루기획,0,0,"보컬,랩,댄스,연기",모두,http://maroocorp.co.kr/audition_intro.php,11
매니지먼트mmm,0,0,연기,모두,http://www.management-mmm.com/theme/mmm/04/audition.php,12
매니지먼트오름,0,0,연기,모두,http://allum.co.kr/,13
매니지먼트에어,0,0,기타,모두,https://managementair.com/audition,14
뮤직팜,0,0,"보컬,작사·작곡·프로듀서",모두,https://www.musicfarm.co.kr/audition,15
바인엔터테인먼트,0,0,"보컬,연기,모델,기타",모두,http://www.vine-ent.co.kr/subpage/audition.aspx,16
브레이브엔터테인먼트,0,0,"보컬,연기,작사·작곡·프로듀서",모두,http://www.bravesound.com/theme/bravesound/audition_info_page.php,17
블러썸엔터테인먼트,0,0,"보컬,연기,모델,기타",모두,http://blossomenter.com/audition/,18
빅플래닛메이드엔터,0,0,"보컬,랩,댄스,연기",모두,http://www.bpment.co.kr/bpm/audition.do?lang=ko,19
뿌리엔터테인먼트,0,0,"보컬,댄스",모두,https://www.rootsent.co.kr/audition,20
샘컴퍼니,0,0,연기,모두,http://www.semcompany.co.kr/page/page.html?mcd=02/01,21
샛별당엔터테인먼트,0,0,연기,모두,https://www.sbdenter.com/audition,22
스타잇엔터테인먼트,0,0,"보컬,댄스,연기,기타",모두,http://www.starit-ent.com/main/ko/sub05_01.html?xid=5,23
스타위브엔터테인먼트,0,0,"보컬,랩,댄스,연기",모두,https://starweave-ent.com/audition/,24
스타하우스엔터테인먼트,0,0,연기,모두,http://starhaus.co.kr/?page_id=27,25
스텔라에이전시,0,0,모델,모두,https://www.stellaragency.co.kr/become-a-model,26
스튜디오산타클로스엔터테인먼트,0,0,연기,모두,http://studiosantaent.com/,27
써브라임,0,0,연기,모두,https://www.sublimeartist.co.kr/contact,28
씨제스엔터테인먼트,1995,2004,연기,모두,http://c-jes.com/audition/,29
씨제스엔터테인먼트,0,0,"보컬,랩,댄스,연기,기타",모두,http://c-jes.com/audition/,30
아이오케이 컴퍼니,0,0,"보컬,연기,기타",모두,https://www.iok.co.kr/audition,31
ynk엔터,0,0,연기,모두,http://www.ynkent.com/kr/audition.html,32
아트21,0,0,"보컬,연기",모두,https://www.art21southkorea.com/audition,33
아티스트컴퍼니,0,0,연기,모두,https://www.artistcompany.co.kr/audition/,34
어라운드어스엔터테인먼트,0,0,"보컬,랩,댄스,연기,기타",모두,https://www.aroundusent.com/audition,35
엔브이(NV)엔터테인먼트,0,0,보컬,모두,http://www.nventertainment.net/sub/apply.html,36
올라트엔터테인먼트,0,0,"보컬,랩,댄스",모두,https://www.instagram.com/allartent_audition/,37
위에화 엔터테인먼트,0,0,"보컬,연기,모델,기타",모두,http://www.yhfamily.co.kr/?module=Html&action=SiteComp&sSubNo=2,38
위엔터테인먼트,0,0,"보컬,연기,기타",모두,https://ouient.com/37,39
윌엔터테인먼트,0,0,연기,모두,http://www.willent.co.kr/,40
이니셜엔터테인먼트,0,0,"연기,기타",모두,http://www.initialent.co.kr/audition.do,41
인터파크뮤직플러스,0,0,"보컬,랩,댄스,연기",모두,https://www.interparkmusicplus.com/audition-1,42
인터파크 뮤직플러스,0,0,"보컬,기타",모두,http://www.interparkenter.com/Home/Audition,43
젤리피쉬 엔터테인먼트,2003,0,"보컬,랩,댄스,연기",모두,http://www.jelly-fish.co.kr/sub/audition/list.html,44
카카오엔터테인먼트,0,0,"보컬,랩,댄스,연기,모델,기타",모두,https://audition.kakaoent.com/apply,45
BH,0,0,연기,모두,https://bhent.co.kr/audition/,46
VAST,0,0,연기,모두,https://www.vastenm.com/theme/vaste/04/audition01.php,47
제이와이드,0,0,연기,모두,http://www.jwide.co.kr/sp.php?p=41,48
스타쉽엔터테인먼트,0,0,"보컬,랩,댄스,기타",모두,http://www.starship-ent.com/bbs/audition.php,49
이담,0,0,"보컬,연기",모두,http://www.edam-ent.com/html/sub06/sub06_0601.php,50
하이업,0,0,"보컬,랩,댄스,연기,작사·작곡·프로듀서",모두,http://www.highup-ent.com/audition/,51
커넥트엔터테인먼트,0,2005,"보컬,랩,댄스,연기,기타",남자,https://konnectent.com/audition.php,52
큐브 엔터테인먼트,0,0,"보컬,랩,댄스,연기,기타",모두,http://www.cubeent.co.kr/aud_info_email/,53
클레버E&M,0,0,기타,모두,https://www.clevrenm.co.kr/about,54
킹엔터테인먼트,0,0,보컬,모두,http://trotking.net/audition,55
타조엔터테인먼트,0,0,"보컬,랩,댄스,연기,모델,기타",모두,http://tajoyent.com/entertainment/sub4_c1/,56
보캘,0,0,"보컬,작사·작곡·프로듀서",모두,https://psychotension.com/Audition,57
판타지오,0,0,"보컬,연기,모델,기타",모두,http://www.fantagio.kr/auditions/periodical/,58
팝스엔터테인먼트,0,0,"보컬,댄스,랩,연기,작사·작곡·프로듀서",모두,http://www.popsent.co.kr/pages/business.php,59
팬스타즈컴퍼니,0,0,"보컬,댄스,연기,모델,작사·작곡·프로듀서,기타",모두,http://www.panstarscompany.com/,60
블록베리크리에이티브,0,0,"보컬,랩,댄스,연기",모두,https://blockberrycreative.com/AUDITION,61
프로덕션이황,0,0,"보컬,작사·작곡·프로듀서",모두,http://www.leehwang.kr/sub/audition.php,62
플렉스엠,0,0,"보컬,연기,작사·작곡·프로듀서",모두,http://flex-m.com/audition.php,63
하이지음스튜디오,0,0,연기,모두,https://www.highziumstudio.com/audition/,64
Ateam엔터테인먼트,0,0,"보컬,연기",모두,http://ateament.co.kr/skin/page/audition_info.html,65
웨이크원,0,0,"보컬,랩,댄스,연기",모두,https://wake-one.com/audition/,66
스윙,0,0,기타,모두,http://swingent.co.kr/default/subpage/audition.php,67
아메바컬쳐,0,0,"보컬,작사·작곡·프로듀서",모두,https://www.amoebaculture.com/service/auditions,68
FNC 엔터테인먼트,1996,0,"보컬,랩,댄스,연기,기타",모두,https://www.fncent.com/c/4/15,69
HM엔터테인먼트,0,0,"보컬,연기",모두,http://hment.co.kr/AUDITION/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=9477556&t=board,70
H&엔터테인먼트,0,0,제한없음,모두,http://www.h-andent.com/company/contact-us/,71
빌리프랩,0,0,"보컬,랩,댄스",모두,https://beliftlab.com/audition/index,72
쏘스뮤직,0,0,"보컬,랩,댄스,기타",모두,https://www.sourcemusic.com/audition/index,73
플레디스,2005,0,"보컬,랩,댄스,연기,모델",모두,https://pledisaudition.co.kr/html/,74
KOZ 엔터테인먼트,0,0,"보컬,랩,댄스,작사·작곡·프로듀서",모두,https://www.kozofficial.com/audition-1-online.php,75
iHQ,0,0,"보컬,연기,모델,기타",모두,https://ihq.co.kr/ent/contact/audition/audition-application/,76
JYP 엔터테인먼트,0,0,"보컬,댄스,랩,연기,모델",모두,https://audition.jype.com/ko/Audition/Info,77
KQ엔터테인먼트,0,0,"보컬,작사·작곡·프로듀서",모두,https://kqent.com/pr/audition,78
포켓돌스튜디오,1997,0,"보컬,랩,댄스,연기,기타",모두,https://pocketdol.co.kr/audition,79
kh컴퍼니,1997,0,"보컬,랩,댄스,연기,기타",모두,http://khcompany.co.kr/Audition,80
MLD 엔터테인먼트,0,0,"보컬,랩,댄스,연기,모델,작사·작곡·프로듀서",모두,https://www.mldenter.com/audition,81
MNH 엔터테인먼트,0,0,"보컬,랩,댄스,연기,작사·작곡·프로듀서",모두,http://mnhenter.com/page/information,82
P NATION,0,0,"보컬,랩,댄스,연기,작사·작곡·프로듀서",모두,https://www.pnation.com/audition,83
rbw,0,0,"보컬,랩,댄스,작사·작곡·프로듀서,기타",모두,http://www.rbbridge.com/?page_id=15526,84
DSP 미디어,0,0,"보컬,댄스,연기,모델",모두,http://www.dspmedia.co.kr/audition/online,85
WM 엔터테인먼트,0,0,"보컬,연기,모델",모두,http://www.wment.co.kr/?c=user&mcd=wmc001,86
SM 엔터테인먼트,0,0,"보컬,랩,댄스,연기",모두,https://audition.smtown.com/apply,87
미스틱스토리,0,0,"보컬,연기,작사·작곡·프로듀서,기타",모두,http://www.mystic89.net/audition,88
울림엔터테인먼트,0,0,"보컬,랩,댄스,연기,모델,작사·작곡·프로듀서,기타",모두,http://www.woolliment.com/bbs/write.php?bo_table=audition,89
YG 엔터테인먼트,1990,2004,연기,모두,https://www.yg-audition.com/apply,90
YG 엔터테인먼트,0,0,"보컬,랩,댄스",모두,https://www.yg-audition.com/apply,91
에스팀 엔터테인먼트,0,0,"연기,모델,기타",모두,https://esteemgroup.com/apply-carrer/,92
에코글로벌그룹,0,0,연기,모두,https://www.echogg.com/audition,93
